Indication (ICD-10)	Indication name	Drug (RxNorm)	Drug name	Outcome (ICD-10)	Outcome name	Average ACME	P-value	Proportion mediated	Cohort
N19	Uremia NOS	314718	magnesium acetate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	52356	magnesium citrate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	6574	magnesium	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	6581	magnesium hydroxide	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	6585	magnesium sulfate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	52358	magnesium gluconate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	6582	magnesium oxide	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
I21	cardiac infarction	803516	Niacin / Simvastatin	I51.7	Cardiomegaly	0.02292	2e-16	-0.47364	UKB
I21	cardiac infarction	36567	simvastatin	I51.7	Cardiomegaly	0.02292	2e-16	-0.47364	UKB
N28.9	Nephropathy NOS	1202	atenolol	D64.9	Anemia, unspecified	0.02205	2e-16	-0.10585	UKB
K21.9	Esophageal reflux NOS	7646	omeprazole	J45	Asthma	0.02203	2e-16	-0.0735	UKB
J00	Coryza (acute)	161	acetaminophen	H54	Blindness and low vision	0.02183	2e-16	-0.49291	MIMIC-IV
K25	Gastric ulcer	7646	omeprazole	D64.9	Anemia, unspecified	0.020929	2e-16	-0.121658	UKB
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	K76.0	Nonalcoholic fatty liver disease (NAFLD)	0.02049	2e-16	-0.43184	UKB
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	K76.0	Nonalcoholic fatty liver disease (NAFLD)	0.02049	2e-16	-0.43184	UKB
E55	Vitamin D deficiency	802755	liver stomach concentrate	I10	high blood pressure	0.02036	2e-16	-0.03449	UKB
E55	Vitamin D deficiency	2669	cod liver oil	I10	high blood pressure	0.02036	2e-16	-0.03449	UKB
E55	Vitamin D deficiency	91472	shark liver oil	I10	high blood pressure	0.02036	2e-16	-0.03449	UKB
E55	Vitamin D deficiency	900025	atlantic cod allergenic extract	I10	high blood pressure	0.02036	2e-16	-0.03449	UKB
E55	Vitamin D deficiency	6459	liver extract	I10	high blood pressure	0.02036	2e-16	-0.03449	UKB
I21	cardiac infarction	5224	heparin	N17.9	Acute renal failure, unspecified	0.0203	2e-16	-0.176	MIMIC-IV
E21.3	Hyperparathyroidism, unspecified	802755	liver stomach concentrate	K59.0	Constipation	0.02007	2e-16	-0.09198	UKB
E21.3	Hyperparathyroidism, unspecified	2669	cod liver oil	K59.0	Constipation	0.02007	2e-16	-0.09198	UKB
E21.3	Hyperparathyroidism, unspecified	91472	shark liver oil	K59.0	Constipation	0.02007	2e-16	-0.09198	UKB
E21.3	Hyperparathyroidism, unspecified	900025	atlantic cod allergenic extract	K59.0	Constipation	0.02007	2e-16	-0.09198	UKB
E21.3	Hyperparathyroidism, unspecified	6459	liver extract	K59.0	Constipation	0.02007	2e-16	-0.09198	UKB
C92.0	Acute myeloid leukemia	968804	cytarabine liposome	D61.81	Pancytopenia	0.01885	2e-16	0.21362	MIMIC-IV
C92.0	Acute myeloid leukemia	3041	cytarabine	D61.81	Pancytopenia	0.01885	2e-16	0.21362	MIMIC-IV
C92.0	Acute myeloid leukemia	968804	cytarabine liposome	D61.81	Pancytopenia	0.01885	2e-16	0.21362	MIMIC-IV
C92.0	Acute myeloid leukemia	3041	cytarabine	D61.81	Pancytopenia	0.01885	2e-16	0.21362	MIMIC-IV
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	G62.9	Neuropathy NOS	0.0186	2e-16	-0.681	UKB
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	G62.9	Neuropathy NOS	0.0186	2e-16	-0.681	UKB
I21	cardiac infarction	6387	lidocaine	I50.9	Congestive heart disease	0.01853	2e-16	1.79065	MIMIC-IV
I21	cardiac infarction	1009219	aliskiren / Amlodipine	I51.7	Cardiomegaly	0.01846	2e-16	-0.23783	UKB
I21	cardiac infarction	17767	amlodipine	I51.7	Cardiomegaly	0.01846	2e-16	-0.23783	UKB
N19	Uremia NOS	6579	magnesium chloride	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	1426853	magnesium cation	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	236741	magnesium sulfate heptahydrate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	215976	magnesium, chelated	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	29170	magnesium trisilicate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	142131	magnesium aspartate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	283578	magnesium malate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	29155	magnesium carbonate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	214688	magnesium lactate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	139233	magnesium orotate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	314718	magnesium acetate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	52356	magnesium citrate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	6574	magnesium	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	6581	magnesium hydroxide	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	6585	magnesium sulfate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	52358	magnesium gluconate	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
N19	Uremia NOS	6582	magnesium oxide	E87.2	Acidosis	0.01841	2e-16	-0.11407	MIMIC-IV
I21	cardiac infarction	7646	omeprazole	I50.9	Congestive heart disease	0.01834	2e-16	-0.51863	UKB
I21	cardiac infarction	5224	heparin	J96.0	Acute respiratory failure	0.01828	2e-16	-0.20515	MIMIC-IV
I21	cardiac infarction	6387	lidocaine	J96.0	Acute respiratory failure	0.01787	2e-16	-0.10284	MIMIC-IV
I22	cardiac infarction	803516	Niacin / Simvastatin	I50.1	Cardiac asthma	0.01747	2e-16	-1.97856	UKB
I22	cardiac infarction	36567	simvastatin	I50.1	Cardiac asthma	0.01747	2e-16	-1.97856	UKB
M10	Gout	5640	ibuprofen	N18.9	Chronic uremia NOS	0.01732	2e-16	-0.2985	UKB
E78.5	Hyperlipidemia, unspecified	83367	atorvastatin	D64.9	Anemia, unspecified	0.016865	2e-16	-0.076494	UKB
K92.9	Disease of digestive system, unspecified	4832	glucagon	D64.9	Anemia, unspecified	0.01659	2e-16	-0.12905	MIMIC-IV
I21	cardiac infarction	6387	lidocaine	N17.9	Acute renal failure, unspecified	0.0164	2e-16	-0.0889	MIMIC-IV
N19	Uremia NOS	6579	magnesium chloride	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	1426853	magnesium cation	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	236741	magnesium sulfate heptahydrate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	215976	magnesium, chelated	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	29170	magnesium trisilicate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	142131	magnesium aspartate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	283578	magnesium malate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	29155	magnesium carbonate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	214688	magnesium lactate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	139233	magnesium orotate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	314718	magnesium acetate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	52356	magnesium citrate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	6574	magnesium	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	6581	magnesium hydroxide	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	6585	magnesium sulfate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	52358	magnesium gluconate	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
N19	Uremia NOS	6582	magnesium oxide	D64.9	Anemia, unspecified	0.01631	2e-16	-0.08091	MIMIC-IV
I47.2	Ventricular tachycardia	1202	atenolol	I42	Cardiomyopathy	0.01627	2e-16	-0.7978	UKB
I21	cardiac infarction	7646	omeprazole	I70	atheroma	0.0162	2e-16	-0.57524	UKB
I21	cardiac infarction	1009219	aliskiren / Amlodipine	N17.9	Acute renal failure, unspecified	0.0161	2e-16	-0.1089	UKB
I21	cardiac infarction	17767	amlodipine	N17.9	Acute renal failure, unspecified	0.0161	2e-16	-0.1089	UKB
N19	Uremia NOS	29046	lisinopril	D64.9	Anemia, unspecified	0.01607	2e-16	-0.07399	UKB
N19	Uremia NOS	214618	Hydrochlorothiazide / Lisinopril	D64.9	Anemia, unspecified	0.01607	2e-16	-0.07399	UKB
K26	Duodenal ulcer	7646	omeprazole	I20	Angina pectoris	0.01606	2e-16	-0.08136	UKB
N28.9	Nephropathy NOS	35296	ramipril	G62.9	Neuropathy NOS	0.015959	2e-16	-0.464091	UKB
M06.9	Rheumatoid arthritis, unspecified	5640	ibuprofen	J47	Bronchiectasis	0.01591	2e-16	-0.391603	UKB
G43	Migraine	161	acetaminophen	I67.9	Cerebrovascular disease, unspecified	0.01581	2e-16	-0.39779	MIMIC-IV
N19	Uremia NOS	29046	lisinopril	F41.9	Anxiety NOS	0.015642	2e-16	-0.086767	UKB
N19	Uremia NOS	214618	Hydrochlorothiazide / Lisinopril	F41.9	Anxiety NOS	0.015642	2e-16	-0.086767	UKB
I21	cardiac infarction	7646	omeprazole	I67.9	Cerebrovascular disease, unspecified	0.01554	2e-16	-0.5015	UKB
I21	cardiac infarction	6387	lidocaine	I50.2	Systolic (congestive) heart failure	0.01551	2e-16	-0.23771	MIMIC-IV
N28.9	Nephropathy NOS	1009219	aliskiren / Amlodipine	G62.9	Neuropathy NOS	0.015289	2e-16	-0.425982	UKB
N28.9	Nephropathy NOS	17767	amlodipine	G62.9	Neuropathy NOS	0.015289	2e-16	-0.425982	UKB
I21	cardiac infarction	803516	Niacin / Simvastatin	I50.9	Congestive heart disease	0.01515	2e-16	-0.65679	UKB
I21	cardiac infarction	36567	simvastatin	I50.9	Congestive heart disease	0.01515	2e-16	-0.65679	UKB
N08	Nephritis	6579	magnesium chloride	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	1426853	magnesium cation	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	236741	magnesium sulfate heptahydrate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	215976	magnesium, chelated	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	29170	magnesium trisilicate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	142131	magnesium aspartate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	283578	magnesium malate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	29155	magnesium carbonate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	214688	magnesium lactate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	139233	magnesium orotate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	314718	magnesium acetate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	52356	magnesium citrate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	6574	magnesium	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	6581	magnesium hydroxide	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	6585	magnesium sulfate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	52358	magnesium gluconate	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
N08	Nephritis	6582	magnesium oxide	D64.9	Anemia, unspecified	0.01501	2e-16	-0.0732	MIMIC-IV
K21.9	Esophageal reflux NOS	17128	lansoprazole	J45	Asthma	0.0149	2e-16	-0.0457	UKB
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	I70	atheroma	0.01428	2e-16	-0.66399	UKB
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	I70	atheroma	0.01428	2e-16	-0.66399	UKB
N28.9	Nephropathy NOS	83367	atorvastatin	G62.9	Neuropathy NOS	0.014273	2e-16	-0.374548	UKB
K25	Gastric ulcer	7646	omeprazole	K92.1	Melena	0.014216	2e-16	-0.393108	UKB
I21	cardiac infarction	5224	heparin	I50.9	Congestive heart disease	0.01414	2e-16	0.50787	MIMIC-IV
I47.1	Supraventricular tachycardia	1202	atenolol	I42	Cardiomyopathy	0.01413	2e-16	-0.48322	UKB
N28.9	Nephropathy NOS	1202	atenolol	G62.9	Neuropathy NOS	0.014037	2e-16	-0.389608	UKB
I21	cardiac infarction	1009219	aliskiren / Amlodipine	I67.9	Cerebrovascular disease, unspecified	0.01389	2e-16	-0.36785	UKB
I21	cardiac infarction	17767	amlodipine	I67.9	Cerebrovascular disease, unspecified	0.01389	2e-16	-0.36785	UKB
E78.5	Hyperlipidemia, unspecified	83367	atorvastatin	E83	Disorders of mineral metabolism	0.0138	2e-16	-0.142	UKB
I22	cardiac infarction	6809	metformin	I50.1	Cardiac asthma	0.01362	2e-16	-0.34878	UKB
E55	Vitamin D deficiency	802755	liver stomach concentrate	I51.7	Cardiomegaly	0.013526	2e-16	-0.133819	UKB
E55	Vitamin D deficiency	2669	cod liver oil	I51.7	Cardiomegaly	0.013526	2e-16	-0.133819	UKB
E55	Vitamin D deficiency	91472	shark liver oil	I51.7	Cardiomegaly	0.013526	2e-16	-0.133819	UKB
E55	Vitamin D deficiency	900025	atlantic cod allergenic extract	I51.7	Cardiomegaly	0.013526	2e-16	-0.133819	UKB
E55	Vitamin D deficiency	6459	liver extract	I51.7	Cardiomegaly	0.013526	2e-16	-0.133819	UKB
E78.5	Hyperlipidemia, unspecified	83367	atorvastatin	E87	Other disorders of fluid, electrolyte and acid-base balance	0.0135	2e-16	-0.074	UKB
E78.5	Hyperlipidemia, unspecified	83367	atorvastatin	E86	Volume depletion	0.013415	2e-16	-0.119136	UKB
N18.9	Chronic uremia NOS	6579	magnesium chloride	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	1426853	magnesium cation	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	236741	magnesium sulfate heptahydrate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	215976	magnesium, chelated	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	29170	magnesium trisilicate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	142131	magnesium aspartate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	283578	magnesium malate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	29155	magnesium carbonate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	214688	magnesium lactate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	139233	magnesium orotate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	314718	magnesium acetate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	52356	magnesium citrate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	6574	magnesium	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	6581	magnesium hydroxide	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	6585	magnesium sulfate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	52358	magnesium gluconate	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
N18.9	Chronic uremia NOS	6582	magnesium oxide	D64.9	Anemia, unspecified	0.01335	2e-16	-0.06715	MIMIC-IV
K26	Duodenal ulcer	7646	omeprazole	K92.1	Melena	0.013126	2e-16	-0.371739	UKB
I50.9	Congestive heart disease	35296	ramipril	E87.7	Fluid overload	0.01306	2e-16	-0.4652	UKB
N28.9	Nephropathy NOS	35296	ramipril	E87.5	Hyperkalemia	0.01302	2e-16	-0.38619	UKB
N08	Nephritis	6579	magnesium chloride	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	1426853	magnesium cation	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	236741	magnesium sulfate heptahydrate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	215976	magnesium, chelated	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	29170	magnesium trisilicate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	142131	magnesium aspartate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	283578	magnesium malate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	29155	magnesium carbonate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	214688	magnesium lactate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	139233	magnesium orotate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	314718	magnesium acetate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	52356	magnesium citrate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	6574	magnesium	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	6581	magnesium hydroxide	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	6585	magnesium sulfate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	52358	magnesium gluconate	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
N08	Nephritis	6582	magnesium oxide	N18	Chronic renal failure	0.01286	2e-16	-0.09782	MIMIC-IV
F33.9	Monopolar depression NOS	704	amitriptyline	F32	Depressive episode	0.01274	2e-16	-0.18398	UKB
L40	Psoriasis	802755	liver stomach concentrate	M10	Gout	0.012614	2e-16	-0.136549	UKB
L40	Psoriasis	2669	cod liver oil	M10	Gout	0.012614	2e-16	-0.136549	UKB
L40	Psoriasis	91472	shark liver oil	M10	Gout	0.012614	2e-16	-0.136549	UKB
L40	Psoriasis	900025	atlantic cod allergenic extract	M10	Gout	0.012614	2e-16	-0.136549	UKB
L40	Psoriasis	6459	liver extract	M10	Gout	0.012614	2e-16	-0.136549	UKB
I22	cardiac infarction	7646	omeprazole	I46	Cardiac arrest	0.01261	2e-16	-0.64413	UKB
I50.9	Congestive heart disease	1009219	aliskiren / Amlodipine	E87.7	Fluid overload	0.01259	2e-16	-0.41517	UKB
I50.9	Congestive heart disease	17767	amlodipine	E87.7	Fluid overload	0.01259	2e-16	-0.41517	UKB
I21	cardiac infarction	6809	metformin	I51.7	Cardiomegaly	0.01253	2e-16	-0.14496	UKB
E78.5	Hyperlipidemia, unspecified	83367	atorvastatin	K76.0	Nonalcoholic fatty liver disease (NAFLD)	0.012462	2e-16	-0.165634	UKB
I21	cardiac infarction	803516	Niacin / Simvastatin	I70	atheroma	0.01244	2e-16	-0.6269	UKB
I21	cardiac infarction	36567	simvastatin	I70	atheroma	0.01244	2e-16	-0.6269	UKB
N18.9	Chronic uremia NOS	29046	lisinopril	G62.9	Neuropathy NOS	0.01237	0.002	-0.24454	UKB
N18.9	Chronic uremia NOS	214618	Hydrochlorothiazide / Lisinopril	G62.9	Neuropathy NOS	0.01237	0.002	-0.24454	UKB
